1275061000: 00000684, 00450513
1275144000: 00000688, ff5ff06f
1275228000: 0000068c, 471000ef
1275311000: 00000690, 010000ef
1275395000: 0000067c, 00b50863
1275478000: 00000680, 00052023
1275645000: 00000684, 00450513
1275728000: 00000688, ff5ff06f
1275812000: 0000068c, 471000ef
1275895000: 00000690, 010000ef
1275978000: 0000067c, 00b50863
1276062000: 00000680, 00052023
1276229000: 00000684, 00450513
1276312000: 00000688, ff5ff06f
1276395000: 0000068c, 471000ef
1276479000: 00000690, 010000ef
1276562000: 0000067c, 00b50863
1276646000: 00000680, 00052023
1276812000: 00000684, 00450513
1276896000: 00000688, ff5ff06f
1276979000: 0000068c, 471000ef
1277063000: 00000690, 010000ef
1277146000: 0000067c, 00b50863
1277229000: 00000680, 00052023
1277396000: 00000684, 00450513
1277480000: 00000688, ff5ff06f
1277563000: 0000068c, 471000ef
1277646000: 00000690, 010000ef
1277730000: 0000067c, 00b50863
1277813000: 00000680, 00052023
1277980000: 00000684, 00450513
1278063000: 00000688, ff5ff06f
1278147000: 0000068c, 471000ef
1278230000: 00000690, 010000ef
1278314000: 0000067c, 00b50863
1278397000: 00000680, 00052023
1278564000: 00000684, 00450513
1278647000: 00000688, ff5ff06f
1278731000: 0000068c, 471000ef
1278814000: 00000690, 010000ef
1278897000: 0000067c, 00b50863
1278981000: 00000680, 00052023
1279148000: 00000684, 00450513
1279231000: 00000688, ff5ff06f
1279314000: 0000068c, 471000ef
1279398000: 00000690, 010000ef
1279481000: 0000067c, 00b50863
1279565000: 00000680, 00052023
1279731000: 00000684, 00450513
1279815000: 00000688, ff5ff06f
1279898000: 0000068c, 471000ef
1279982000: 00000690, 010000ef
1280065000: 0000067c, 00b50863
1280148000: 00000680, 00052023
1280315000: 00000684, 00450513
1280399000: 00000688, ff5ff06f
1280482000: 0000068c, 471000ef
1280565000: 00000690, 010000ef
1280649000: 0000067c, 00b50863
1280732000: 00000680, 00052023
1280899000: 00000684, 00450513
1280982000: 00000688, ff5ff06f
1281066000: 0000068c, 471000ef
1281149000: 00000690, 010000ef
1281233000: 0000067c, 00b50863
1281316000: 00000680, 00052023
1281483000: 00000684, 00450513
1281566000: 00000688, ff5ff06f
1281650000: 0000068c, 471000ef
1281733000: 00000690, 010000ef
1281816000: 0000067c, 00b50863
1281900000: 00000680, 00052023
1282067000: 00000684, 00450513
1282150000: 00000688, ff5ff06f
1282233000: 0000068c, 471000ef
1282317000: 00000690, 010000ef
1282400000: 0000067c, 00b50863
1282484000: 00000680, 00052023
1282650000: 00000684, 00450513
1282734000: 00000688, ff5ff06f
1282817000: 0000068c, 471000ef
1282901000: 00000690, 010000ef
1282984000: 0000067c, 00b50863
1283067000: 00000680, 00052023
1283234000: 00000684, 00450513
1283318000: 00000688, ff5ff06f
1283401000: 0000068c, 471000ef
1283484000: 00000690, 010000ef
1283568000: 0000067c, 00b50863
1283651000: 00000680, 00052023
1283818000: 00000684, 00450513
1283901000: 00000688, ff5ff06f
1283985000: 0000068c, 471000ef
1284068000: 00000690, 010000ef
1284152000: 0000067c, 00b50863
1284235000: 00000680, 00052023
1284402000: 00000684, 00450513
1284485000: 00000688, ff5ff06f
1284569000: 0000068c, 471000ef
1284652000: 00000690, 010000ef
1284735000: 0000067c, 00b50863
1284819000: 00000680, 00052023
1284986000: 00000684, 00450513
1285069000: 00000688, ff5ff06f
1285152000: 0000068c, 471000ef
1285236000: 00000690, 010000ef
